version,language,gaming_frequency,imi1,imi2,imi3,imi4,imi5,imi6,imi7,g-rbs,g-brs,g-bfs,g-frs,g-rfs,g-fbs,bug,bugdesc,imi_enjoyment,total_moves,moves_with_noun,grammatical_moves_userjudgement,grammatical_moves_idealised,proportion_of_valid_data_total_userjudgement,proportion_of_valid_data_total_idealised,proportion_of_valid_data_first20_idealised,proportion_of_valid_data_providing_mechanic_actuations_total_userjudgement,proportion_of_valid_data_providing_mechanic_actuations_total_idealised,moves_with_noun_last16,grammatical_moves_last16_userjudgement,grammatical_moves_last16_idealised,proportion_of_valid_data_last16_userjudgement,proportion_of_valid_data_last16_idealised,proportion_of_valid_data_providing_mechanic_actuations_last16_userjudgement,proportion_of_valid_data_providing_mechanic_actuations_last16_idealised,time_per_input_from_moveDurations,time_per_input_from_8min
normal,english,about-once-a-week,3,3,4,3,2,3,3,ng,g,ng,g,ng,ng,bug,The round ended after only two moves,2.7142857142857144,23,23,14,21,0.6086956521739131,0.9130434782608695,0.95,0.6086956521739131,0.9130434782608695,16,9,15,0.5625,0.9375,0.5625,0.9375,17.842901739131143,0.34782608695652173
normal,english,several-times-a-week,3,4,2,2,3,4,5,ng,g,g,g,ng,g,nobug,,3.857142857142857,36,33,18,17,0.5,0.4722222222222222,0.45,0.5454545454545454,0.5151515151515151,13,8,8,0.5,0.5,0.6153846153846154,0.6153846153846154,11.810385694444753,0.2222222222222222
normal,english,several-times-a-week,5,5,1,1,4,4,4,ng,g,g,ng,ng,ng,nobug,,4.571428571428571,62,52,4,8,0.06451612903225806,0.12903225806451613,0.1,0.07692307692307693,0.15384615384615385,15,1,5,0.0625,0.3125,0.06666666666666667,0.3333333333333333,6.668135161289096,0.12903225806451613
normal,english,about-once-a-week,3,3,1,2,4,3,2,ng,g,ng,g,ng,g,nobug,,3.4285714285714284,20,16,7,8,0.35,0.4,0.4,0.4375,0.5,12,5,5,0.3125,0.3125,0.4166666666666667,0.4166666666666667,20.41770549999999,0.4
tool,english,every-day,5,5,1,1,5,5,4,ng,g,g,g,ng,g,nobug,,4.857142857142857,68,62,9,8,0.1323529411764706,0.11764705882352941,0.15,0.14516129032258066,0.12903225806451613,15,1,1,0.0625,0.0625,0.06666666666666667,0.06666666666666667,6.807934852939712,0.11764705882352941
normal,english,almost-never,5,5,1,1,5,5,5,g,g,g,ng,ng,ng,nobug,,5.0,34,32,18,20,0.5294117647058824,0.5882352941176471,0.7,0.5625,0.625,14,7,7,0.4375,0.4375,0.5,0.5,11.160102205882357,0.23529411764705882
normal,english,every-day,4,5,1,1,4,5,5,ng,g,g,g,ng,g,nobug,,4.714285714285714,50,44,10,7,0.2,0.14,0.15,0.22727272727272727,0.1590909090909091,12,3,2,0.1875,0.125,0.25,0.16666666666666666,8.092779999999912,0.16
tool,english,every-day,4,5,1,1,4,5,5,ng,g,ng,g,ng,g,nobug,,4.714285714285714,62,57,26,29,0.41935483870967744,0.46774193548387094,0.45,0.45614035087719296,0.5087719298245614,16,11,11,0.6875,0.6875,0.6875,0.6875,7.365377580644441,0.12903225806451613
tool,english,every-day,4,4,1,1,4,4,4,g,g,g,g,g,g,nobug,,4.285714285714286,37,37,26,16,0.7027027027027027,0.43243243243243246,0.25,0.7027027027027027,0.43243243243243246,16,13,11,0.8125,0.6875,0.8125,0.6875,12.303769459457111,0.21621621621621623
normal,english,about-once-a-week,3,3,4,2,4,3,2,ng,g,g,ng,g,g,bug,last level I couldn't see shapes,3.0,42,37,19,14,0.4523809523809524,0.3333333333333333,0.25,0.5135135135135135,0.3783783783783784,13,8,7,0.5,0.4375,0.6153846153846154,0.5384615384615384,9.962166666666667,0.19047619047619047
tool,english,about-once-a-month,4,4,2,2,3,4,3,ng,g,g,g,g,ng,nobug,,3.7142857142857144,36,36,11,7,0.3055555555555556,0.19444444444444445,0.0,0.3055555555555556,0.19444444444444445,16,10,7,0.625,0.4375,0.625,0.4375,9.852053888888705,0.2222222222222222
tool,english,almost-never,3,3,2,4,3,3,3,ng,g,g,g,ng,ng,nobug,,3.0,67,64,21,21,0.31343283582089554,0.31343283582089554,0.3,0.328125,0.328125,16,6,6,0.375,0.375,0.375,0.375,6.939758955223013,0.11940298507462686
tool,english,about-once-a-month,2,2,4,3,1,1,1,ng,g,g,g,ng,ng,nobug,,1.7142857142857142,54,53,7,7,0.12962962962962962,0.12962962962962962,0.05,0.1320754716981132,0.1320754716981132,16,4,4,0.25,0.25,0.25,0.25,8.25750101851871,0.14814814814814814
normal,english,several-times-a-week,5,5,1,1,5,5,4,ng,g,ng,g,ng,ng,nobug,,4.857142857142857,20,20,3,3,0.15,0.15,0.15,0.15,0.15,16,3,3,0.1875,0.1875,0.1875,0.1875,18.328315999987534,0.4
tool,english,every-day,5,4,2,1,3,4,2,ng,g,g,g,g,ng,nobug,,3.857142857142857,62,46,12,10,0.1935483870967742,0.16129032258064516,0.2,0.2608695652173913,0.21739130434782608,14,1,1,0.0625,0.0625,0.07142857142857142,0.07142857142857142,7.638748467742135,0.12903225806451613
tool,english,several-times-a-week,3,2,4,2,2,2,2,ng,g,g,ng,ng,ng,nobug,,2.4285714285714284,39,38,13,35,0.3333333333333333,0.8974358974358975,0.9,0.34210526315789475,0.9210526315789473,16,5,14,0.3125,0.875,0.3125,0.875,11.574794871794873,0.20512820512820512
tool,english,several-times-a-week,5,5,1,1,5,5,5,ng,g,g,g,ng,ng,nobug,,5.0,57,55,7,7,0.12280701754385964,0.12280701754385964,0.15,0.12727272727272726,0.12727272727272726,16,1,1,0.0625,0.0625,0.0625,0.0625,7.849432280700217,0.14035087719298245
normal,english,several-times-a-week,5,4,1,1,5,5,4,ng,g,ng,g,ng,ng,nobug,,4.714285714285714,20,20,1,1,0.05,0.05,0.05,0.05,0.05,16,1,1,0.0625,0.0625,0.0625,0.0625,21.74414524999738,0.4
normal,english,about-once-a-month,3,3,3,2,3,3,1,ng,g,g,g,g,g,bug,Some 3 word combinations didn't work,2.857142857142857,26,22,8,8,0.3076923076923077,0.3076923076923077,0.35,0.36363636363636365,0.36363636363636365,12,5,5,0.3125,0.3125,0.4166666666666667,0.4166666666666667,15.551939423079602,0.3076923076923077
normal,english,about-once-a-month,5,5,1,5,5,5,5,ng,g,ng,g,ng,g,nobug,,4.428571428571429,36,34,10,21,0.2777777777777778,0.5833333333333334,0.65,0.29411764705882354,0.6176470588235294,15,4,8,0.25,0.5,0.26666666666666666,0.5333333333333333,9.921138888888892,0.2222222222222222
normal,english,several-times-a-week,4,5,1,2,4,5,4,ng,g,g,g,ng,ng,bug,,4.428571428571429,42,40,5,5,0.11904761904761904,0.11904761904761904,0.05,0.125,0.125,16,4,4,0.25,0.25,0.25,0.25,9.599721904760893,0.19047619047619047
normal,english,about-once-a-month,5,5,1,1,5,5,5,ng,g,g,g,g,ng,nobug,,5.0,32,29,20,12,0.625,0.375,0.4,0.6896551724137931,0.41379310344827586,15,9,4,0.5625,0.25,0.6,0.26666666666666666,12.562625312500131,0.25
normal,english,about-once-a-week,3,3,4,1,4,3,1,ng,g,g,g,g,ng,nobug,,3.0,11,11,2,0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,11,2,0,0.125,0.0,0.18181818181818182,0.0,14.482214545456703,0.7272727272727273
normal,english,every-day,4,4,2,2,3,4,2,ng,g,g,g,g,ng,nobug,,3.5714285714285716,45,44,40,38,0.8888888888888888,0.8444444444444444,1.0,0.9090909090909091,0.8636363636363636,15,13,13,0.8125,0.8125,0.8666666666666667,0.8666666666666667,9.419078555555542,0.17777777777777778
normal,english,several-times-a-week,4,4,1,2,3,4,4,ng,g,g,ng,g,ng,nobug,,4.0,44,43,13,15,0.29545454545454547,0.3409090909090909,0.05,0.3023255813953488,0.3488372093023256,15,6,7,0.375,0.4375,0.4,0.4666666666666667,9.735306477273381,0.18181818181818182
tool,english,every-day,4,4,2,5,5,4,5,ng,g,ng,ng,g,g,nobug,,3.857142857142857,50,43,8,13,0.16,0.26,0.4,0.18604651162790697,0.3023255813953488,16,5,2,0.3125,0.125,0.3125,0.125,9.220763199998764,0.16
tool,english,every-day,2,2,4,2,1,1,4,ng,g,g,g,g,g,nobug,,2.2857142857142856,54,54,37,31,0.6851851851851852,0.5740740740740741,0.1,0.6851851851851852,0.5740740740740741,16,15,12,0.9375,0.75,0.9375,0.75,8.287913888891193,0.14814814814814814
normal,english,several-times-a-week,4,4,1,1,4,4,3,ng,g,g,g,g,g,bug,,4.142857142857143,35,32,28,25,0.8,0.7142857142857143,0.6,0.875,0.78125,15,15,13,0.9375,0.8125,1.0,0.8666666666666667,11.55326042857154,0.22857142857142856
normal,english,every-day,5,5,1,1,5,5,5,ng,g,g,g,g,g,bug,,5.0,31,29,28,26,0.9032258064516129,0.8387096774193549,0.75,0.9655172413793104,0.896551724137931,15,15,14,0.9375,0.875,1.0,0.9333333333333333,12.940060322580393,0.25806451612903225
normal,english,about-once-a-week,3,3,2,1,4,4,3,ng,g,ng,g,g,ng,nobug,,3.7142857142857144,32,31,5,8,0.15625,0.25,0.1,0.16129032258064516,0.25806451612903225,16,5,6,0.3125,0.375,0.3125,0.375,12.180962656250127,0.25
tool,english,almost-never,2,2,4,2,2,2,1,ng,g,g,g,ng,g,nobug,,2.142857142857143,56,54,54,54,0.9642857142857143,0.9642857142857143,0.9,1.0,1.0,16,16,16,1.0,1.0,1.0,1.0,8.094339285714286,0.14285714285714285
tool,english,about-once-a-week,4,4,2,2,3,4,1,ng,g,g,g,ng,ng,nobug,,3.4285714285714284,48,48,18,18,0.375,0.375,0.1,0.375,0.375,16,9,9,0.5625,0.5625,0.5625,0.5625,9.4115625,0.16666666666666666
normal,english,every-day,5,5,1,1,5,5,5,ng,g,g,g,g,ng,bug,,5.0,26,22,12,10,0.46153846153846156,0.38461538461538464,0.45,0.5454545454545454,0.45454545454545453,12,6,5,0.375,0.3125,0.5,0.4166666666666667,15.318704423075989,0.3076923076923077
tool,english,every-day,2,3,1,2,3,2,2,ng,g,g,g,g,ng,nobug,,3.0,101,92,33,26,0.32673267326732675,0.25742574257425743,0.15,0.358695652173913,0.2826086956521739,15,12,11,0.75,0.6875,0.8,0.7333333333333333,4.555371633663112,0.07920792079207921
